City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,yeysk,46.6989,38.2792,75.61,57,47,5.99,RU,1690065132
392,saurimo,-9.6608,20.3916,69.66,28,41,8.25,AO,1690065132
393,pizhma,57.8642,47.1171,52.36,95,81,5.75,RU,1690065133
394,lithgow,-33.4833,150.15,41.65,71,0,1.5,AU,1690065133
395,miyako,39.6367,141.9525,76.82,77,76,4.74,JP,1690065133
396,batetskiy,58.6461,30.3027,55.76,81,67,6.89,RU,1690065133
397,geraldton,-28.7667,114.6,37.81,87,0,4.61,AU,1690065082
398,agirish,61.9247,63.0231,55.13,88,19,4.88,RU,1690065133
399,altagracia de orituco,9.8601,-66.3814,73.74,93,100,0.89,VE,1690065133
400,broken hill,-31.95,141.4333,48.92,76,83,12.97,AU,1690065133
401,witu,-2.3889,40.4382,77.16,85,24,12.17,KE,1690065133
402,kenai,60.5544,-151.2583,66.29,71,0,10.36,US,1690065134
403,trat,12.5,102.5,76.19,97,100,5.21,TH,1690065134
404,canoinhas,-26.1772,-50.39,57.13,92,0,3.18,BR,1690065134
405,princeton,25.5384,-80.4089,96.8,57,40,8.05,US,1690065134
406,cravo norte,6.3017,-70.2041,75.88,91,98,4.05,CO,1690065134
407,inhambane,-23.865,35.3833,64.42,80,0,4.32,MZ,1690065134
408,werda,-25.2667,23.2833,58.44,52,13,11.9,BW,1690065134
409,sakakah,29.9697,40.2064,92.77,15,84,10.76,SA,1690065135
410,hanyang,32.1371,105.5126,73.85,93,45,2.42,CN,1690065135
411,palmer,42.1584,-72.3287,82.24,52,0,5.75,US,1690064933
412,nabire,-3.3667,135.4833,75.24,95,100,4.09,ID,1690065135
413,krasnovishersk,60.4078,57.082,54.39,96,98,2.13,RU,1690065135
414,gravdal,68.1214,13.5031,55.27,93,100,1.61,NO,1690065135
415,lasa,46.6166,10.7002,60.37,90,11,2.39,IT,1690065135
416,schoningen,52.138,10.9675,63.36,76,100,0.74,DE,1690065136
417,grand-lahou,5.1367,-5.0242,75.63,89,98,10.78,CI,1690065136
418,alangayam,12.6,78.75,75.16,73,100,14.38,IN,1690065136
419,sao filipe,14.8961,-24.4956,78.31,76,13,10.13,CV,1690065136
420,palafrugell,41.9174,3.1631,75.45,46,44,7.81,ES,1690065136
421,itoman,26.1247,127.6694,84.22,84,75,3.44,JP,1690065136
422,kholodnyy,62.7167,147.95,55.51,90,100,5.32,RU,1690065136
423,lompoc,34.6391,-120.4579,97.02,70,0,6.91,US,1690064878
424,baykit,61.67,96.37,67.39,60,61,1.83,RU,1690065137
425,cururupu,-1.8283,-44.8683,74.43,82,92,3.58,BR,1690065137
426,chicama,-7.8447,-79.1469,72.14,75,10,7.9,PE,1690065137
427,makakilo city,21.3469,-158.0858,86.32,62,75,14.97,US,1690065137
428,sambava,-14.2667,50.1667,68.31,87,9,10.89,MG,1690065137
429,huntersville,35.4107,-80.8429,85.91,62,40,9.22,US,1690065134
430,la peca,-5.6111,-78.435,74.93,66,50,4.61,PE,1690065137
431,cuiluan,47.72,128.648,64.29,99,100,7.31,CN,1690065138
432,bykovo,55.6361,38.0803,62.33,72,0,4.47,RU,1690065138
433,bonoua,5.2741,-3.595,74.82,89,99,7.65,CI,1690065138
434,andros town,24.7,-77.7667,89.56,70,57,7.61,BS,1690065138
435,provideniya,64.3833,-173.3,50.68,92,100,8.75,RU,1690065138
436,balkanabat,39.5108,54.3671,88.86,27,0,8.63,TM,1690065138
437,dicabisagan,17.0818,122.4157,81.3,82,60,6.58,PH,1690065138
438,filadelfia,39.9523,-75.1638,85.95,44,75,8.05,US,1690064894
439,sabancuy,18.9667,-91.1833,86.45,69,97,14.29,MX,1690065139
440,arinos,-15.9169,-46.1056,70.2,42,9,2.98,BR,1690065139
441,sembakung,3.8167,117.25,73.2,98,100,1.72,ID,1690065139
442,tres arroyos,-38.3739,-60.2798,51.46,59,93,7.78,AR,1690065139
443,panaba,21.2833,-88.2667,90.64,55,72,11.45,MX,1690065139
444,irbeyskoye,55.6428,95.4522,61.41,91,40,1.74,RU,1690065139
445,manga,11.6636,-1.0731,77.58,81,100,3.13,BF,1690065139
446,maniitsoq,65.4167,-52.9,42.75,98,100,10.76,GL,1690065140
447,bullhead city,35.1478,-114.5683,118.02,12,40,14.0,US,1690064930
448,hualahuises,24.8847,-99.6733,102.06,21,44,8.28,MX,1690065140
449,jumla,29.2747,82.1838,63.34,93,100,1.61,NP,1690065140
450,mecca,21.4267,39.8261,90.73,20,5,4.34,SA,1690065097
451,tete,-16.1564,33.5867,66.29,82,40,3.44,MZ,1690065140
452,hay river,60.8156,-115.7999,71.56,49,100,10.36,CA,1690065140
453,mitsamiouli,-11.3847,43.2844,77.65,72,56,7.29,KM,1690065140
454,usinsk,65.9939,57.5281,58.24,96,99,4.38,RU,1690065140
455,khanpur,28.6453,70.6567,95.61,49,90,16.04,PK,1690065140
456,karratha,-20.7377,116.8463,61.07,25,0,21.94,AU,1690065141
457,uyskoye,54.3775,60.0047,54.37,90,37,4.94,RU,1690065141
458,vallenar,-28.5708,-70.7581,63.07,39,100,2.28,CL,1690065141
459,richards bay,-28.783,32.0377,61.48,70,41,8.25,ZA,1690065141
460,carlyle,38.6103,-89.3726,85.12,54,7,5.55,US,1690065141
461,lima,-12.0432,-77.0282,68.9,78,100,12.66,PE,1690065001
462,santa lucia,27.9117,-15.5407,66.76,68,40,26.46,ES,1690065141
463,mutum,-19.8,-41.4383,65.57,78,6,3.15,BR,1690065142
464,tezu,27.9167,96.1667,76.28,96,68,3.38,IN,1690065142
465,gat,31.61,34.7642,85.41,68,0,3.09,IL,1690065120
466,qaqortoq,60.7167,-46.0333,51.49,72,100,3.15,GL,1690064955
467,erzin,36.9559,36.2,76.8,81,0,0.34,TR,1690065142
468,mogadishu,2.0371,45.3438,76.73,87,87,15.1,SO,1690064869
469,vao,-22.6667,167.4833,68.43,55,56,17.27,NC,1690065142
470,kirov,58.5966,49.6601,51.21,93,38,5.39,RU,1690065113
471,neftegorsk,52.802,51.166,58.86,61,50,2.84,RU,1690065142
472,moussoro,13.6408,16.4901,91.53,43,93,14.45,TD,1690065143
473,uyuni,-20.4597,-66.825,47.07,20,0,7.49,BO,1690065143
474,markova,48.6758,24.4138,56.86,90,71,3.94,UA,1690065143
475,taywarah,33.35,64.4167,60.42,31,0,6.91,AF,1690065143
